sensor_id,oid,timestamp,X,Y
1,225,2019-10-25 00:12:00,3302,1673
1,398,2019-10-16 19:05:00,2690,6547
1,463,2019-10-21 08:01:00,9367,1350
1,937,2019-10-17 06:07:00,8725,8831
1,955,2019-10-26 06:12:00,3018,7224
1,1026,2019-10-14 10:03:00,5412,3529
1,1420,2019-10-02 06:08:00,2022,8246
1,1503,2019-10-25 14:11:00,7309,3780
1,1708,2019-10-27 16:11:00,4823,5619
1,1934,2019-10-09 08:08:00,2429,9924
1,2140,2019-10-27 22:06:00,686,5110
1,2285,2019-10-06 12:12:00,2367,8631
1,2405,2019-10-16 16:05:00,8001,4147
1,3074,2019-10-30 18:09:00,4533,4867
1,3137,2019-10-27 20:12:00,2191,9637
1,3391,2019-10-13 03:08:00,9908,3511
1,3599,2019-10-17 13:03:00,8574,8782
1,3628,2019-10-26 10:12:00,4024,9381
1,3970,2019-10-27 00:02:00,7945,5524
1,4182,2019-10-25 04:11:00,9832,1915
1,4522,2019-10-13 07:03:00,9031,9311
1,5228,2019-10-10 04:07:00,3909,9163
1,6175,2019-10-30 01:01:00,5000,9863
1,6400,2019-10-04 01:02:00,5156,7990
1,6601,2019-10-25 06:06:00,9024,8727
1,6929,2019-10-10 03:12:00,3864,5044
1,7294,2019-10-28 05:03:00,9181,5004
1,7368,2019-10-06 04:07:00,7334,8467
1,7453,2019-10-02 13:12:00,5638,952
1,7559,2019-10-23 07:04:00,6787,3867
1,7913,2019-10-26 20:10:00,5326,7193
1,8230,2019-10-23 00:11:00,3932,6347
1,8422,2019-10-24 05:03:00,3078,9798
1,8680,2019-10-05 22:11:00,4024,9381
1,9003,2019-10-29 09:03:00,3186,5475
1,9341,2019-10-04 16:08:00,4087,2029
1,9774,2019-10-21 11:11:00,427,8468
1,9941,2019-10-11 22:06:00,7532,8899
1,10036,2019-10-09 17:09:00,9355,9907
1,10125,2019-10-27 04:03:00,8346,4088
1,10212,2019-10-22 07:07:00,427,8468
1,10348,2019-10-15 11:09:00,1182,5830
1,10377,2019-10-14 10:03:00,344,9681
1,10643,2019-10-27 15:02:00,7827,7175
1,11186,2019-10-21 10:05:00,1915,9036
1,11428,2019-10-26 10:09:00,8902,8917
1,11506,2019-10-01 18:05:00,6256,1508
1,12091,2019-10-25 03:10:00,6678,1434
1,12263,2019-10-01 17:10:00,6565,5495
1,12368,2019-10-25 01:11:00,103,3712
1,12820,2019-10-30 17:03:00,4110,2181
1,13139,2019-10-29 04:08:00,9350,5161
1,13762,2019-10-26 12:12:00,3430,6249
1,13834,2019-10-15 08:04:00,9851,6604
1,13882,2019-10-13 07:11:00,395,6127
1,13998,2019-10-24 00:12:00,3643,1433
1,14323,2019-10-03 23:07:00,3206,9041
1,14448,2019-10-01 06:08:00,9851,6604
1,14770,2019-10-23 18:04:00,1915,9036
1,15129,2019-10-12 07:08:00,9674,47
1,15361,2019-10-28 21:08:00,366,8863
1,15657,2019-10-30 18:03:00,3537,7838
1,16118,2019-10-13 08:08:00,427,8468
1,16695,2019-10-28 21:09:00,8990,7172
1,16966,2019-10-08 16:05:00,1915,9036
1,16979,2019-10-03 15:07:00,5015,9284
1,17068,2019-10-07 04:09:00,6160,403
1,17395,2019-10-04 02:06:00,587,3780
1,17445,2019-10-09 21:04:00,2973,9977
1,17675,2019-10-02 01:09:00,9567,2647
1,18172,2019-10-14 18:10:00,9181,5004
1,18456,2019-10-28 09:04:00,6160,403
1,18880,2019-10-28 16:09:00,2849,9435
